country_id	country_name	year	AG.SRF.TOTL.K2	NY.GDP.MKTP.KD.ZG	NY.GDP.PCAP.CD	SH.DYN.NMRT	SH.H2O.SAFE.UR.ZS	SH.STA.BFED.ZS	SI.POV.NAGP	SM.POP.REFG.OR	SP.ADO.TFRT	SP.POP.65UP.TO.ZS	SP.POP.GROW	SP.POP.TOTL	SP.URB.TOTL.IN.ZS	TM.VAL.FOOD.ZS.UN	TX.VAL.FOOD.ZS.UN
LCN	Latin America & Caribbean (all income levels)	2014	20425333.4	1.35046099455958	9869.90278226133	9.75083289571181	97.3858370900393	NA	NA	204653	64.6466763255223	7.39221692333486	1.09492063769969	626270167	79.614807382798	7.15327492846146	23.0328577542312
LDC	Least developed countries: UN classification	2014	20818177.5	5.76367587135009	952.893825077934	28.0324286770744	84.5790530100198	NA	NA	7083034	92.3222371914059	3.55272398828142	2.40548837952966	931955068	31.0184204167931	NA	NA
LIC	Low income	2014	14455816	6.30953162760186	640.806627129689	27.5	86.6568764376493	NA	NA	6110670	98.1729029156041	3.39904607560509	2.72033645709146	621977594	29.7679450441972	NA	NA
LIE	Liechtenstein	2014	160	NA	NA	NA	NA	NA	NA	0	NA	NA	0.661951129529111	37286	14.305	NA	NA
LKA	Sri Lanka	2014	65610	4.45792640619591	3819.15839221521	5.6	98.5	NA	NA	121996	15.361	8.90503322883257	0.758721600871981	20639000	18.32	13.2102376757051	26.468551089061
LMC	Lower middle income	2014	20523269.5	5.67775225007887	2002.63681469217	26.5	93.6458585736394	NA	NA	6213486	47.0522333569251	5.15493519298018	1.51070942824619	2879112201	38.5320407821831	NA	NA
LMY	Low & middle income	2014	76599979.5	4.85162314412841	4275.58426651255	21.7	95.1402506856605	NA	NA	13315113	48.7666663827693	6.23899717701939	1.34790084570082	5861917628	46.9866402427076	7.34373722068365	10.1054069926902
LSO	Lesotho	2014	30360	3.63908275174477	1034.18528751221	33.4	94.5	NA	NA	17	92.2794	4.17206168982792	1.24688597973456	2109197	26.789	NA	NA
LTU	Lithuania	2014	65300	3.03246998460926	16506.8642516568	2.6	99.7	NA	NA	183	11.6044	18.6047851102476	-0.963688184350911	2929323	66.522	13.0006469059514	17.911916170423
LUX	Luxembourg	2014	2590	4.06929338108021	116664.262487523	1	100	NA	NA	2	6.1496	13.9523476704763	2.31292952366768	556074	89.872	11.7468989129038	10.7946332297413
LVA	Latvia	2014	64490	2.35920521753729	15719.2420207435	5.4	99.8	NA	NA	213	13.978	19.2601216274228	-1.11397660288086	1990351	67.421	13.8155892654832	17.9313903834537
